date,steps,workouts_ct,workout_minutes,workout_distance,workout_energy
2024-12-07 00:00:00,10234,0,0.0,0.0,0.0
2024-12-08 00:00:00,6649,0,0.0,0.0,0.0
2024-12-09 00:00:00,11426,1,67.61142154932023,0.0,0.0
2024-12-10 00:00:00,10034,0,0.0,0.0,0.0
2024-12-11 00:00:00,11610,0,0.0,0.0,0.0
2024-12-12 00:00:00,11391,0,0.0,0.0,0.0
2024-12-13 00:00:00,10744,2,56.30846433242162,0.0,0.0
2024-12-14 00:00:00,10399,0,0.0,0.0,0.0
2024-12-15 00:00:00,8821,0,0.0,0.0,0.0
2024-12-16 00:00:00,16674,1,80.48892628351847,0.0,0.0
2024-12-17 00:00:00,15094,0,0.0,0.0,0.0
2024-12-18 00:00:00,10547,0,0.0,0.0,0.0
2024-12-19 00:00:00,5716,0,0.0,0.0,0.0
2024-12-20 00:00:00,16641,2,76.84450028340022,0.0,0.0
2024-12-21 00:00:00,8266,0,0.0,0.0,0.0
2024-12-22 00:00:00,7061,0,0.0,0.0,0.0
2024-12-23 00:00:00,14772,1,77.7747380654017,0.0,0.0
2024-12-24 00:00:00,7071,0,0.0,0.0,0.0
2024-12-25 00:00:00,3058,0,0.0,0.0,0.0
2024-12-26 00:00:00,2023,0,0.0,0.0,0.0
2024-12-27 00:00:00,5580,0,0.0,0.0,0.0
2024-12-28 00:00:00,13486,2,63.98686493039132,0.0,0.0
2024-12-29 00:00:00,7833,0,0.0,0.0,0.0
2024-12-30 00:00:00,12664,2,98.31527080138524,0.0,0.0
2024-12-31 00:00:00,11973,0,0.0,0.0,0.0
2025-01-01 00:00:00,8653,0,0.0,0.0,0.0
2025-01-02 00:00:00,6444,0,0.0,0.0,0.0
2025-01-03 00:00:00,12173,2,56.649515718221664,0.0,0.0
2025-01-04 00:00:00,8035,0,0.0,0.0,0.0
2025-01-05 00:00:00,25015,0,0.0,0.0,0.0
2025-01-06 00:00:00,26772,1,26.36185981631279,0.0,0.0
